class,year,longitude,latitude,kategori,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,NDTI
0,2025,122.1187244369976,-3.009878832403657,darat,0.0194,0.0321,0.0202,0.2632,0.1494,0.0611,0.8574453,-0.78259397,-0.27581197,-0.24988946,-0.22753347
0,2025,122.13520392918512,-3.017421487332154,darat,0.02615,0.0497,0.02145,0.34495,0.1818,0.07865,0.88291484,-0.7481313,-0.3097295,-0.29224342,-0.39704847
0,2025,122.15443000340386,-3.0181071806413065,darat,0.0229,0.038,0.0189,0.223,0.1438,0.0591,0.84373707,-0.7088123,-0.21592148,-0.20362212,-0.3356766
0,2025,122.14893683934136,-2.9906791118412337,darat,0.0558,0.0651,0.0369,0.3436,0.1824,0.0779,0.8060447,-0.6814289,-0.30646387,-0.29109424,-0.2764706
0,2025,122.1070514633648,-2.952278664454851,darat,0.0316,0.05135,0.0241,0.3242,0.16305,0.0677,0.8616136,-0.7265344,-0.33073372,-0.31061792,-0.36116636
0,2025,122.10361823582572,-2.880274261518069,darat,0.0411,0.04985,0.0306,0.2277,0.1248,0.05445,0.7630662,-0.64078546,-0.2919149,-0.26732674,-0.23927903
0,2025,122.1187244369976,-2.91456264723954,darat,0.0216,0.0462,0.0207,0.3176,0.159,0.0678,0.87762344,-0.7460143,-0.33277383,-0.30738103,-0.38116592
0,2025,122.12078437352103,-2.9214201994140105,darat,0.0204,0.0466,0.0198,0.3264,0.1497,0.0596,0.8856152,-0.75013405,-0.37114054,-0.343405,-0.40361446
0,2025,122.1949420883648,-2.933077941931523,darat,0.0225,0.0423,0.0222,0.268,0.1614,0.0703,0.8470021,-0.7273606,-0.24825338,-0.22547986,-0.31162792
0,2025,122.17434272313042,-2.916619917284004,darat,0.032,0.0598,0.0299,0.3212,0.1366,0.0586,0.8296782,-0.6860893,-0.40323287,-0.35924572,-0.33333334
0,2025,122.10911139988823,-2.847356439759054,darat,0.1034,0.1326,0.1822,0.21985,0.26625,0.2298,0.09364508,-0.24755287,0.09545363,0.16223922,0.15756038
0,2025,122.11941108250542,-2.8500996276494757,darat,0.1061,0.1305,0.1498,0.1673,0.18515,0.1417,0.05518763,-0.123572856,0.05064547,0.10117531,0.068854794
